cin,company_name,status,authorized_capital,paidup_capital,class
U52520DL2020PTC366780,MDPK INDIA PRIVATE LIMITED,Active,100000,100000,Private
U28999DL2018PTC335909,AAMFIRO METAL PRIVATE LIMITED,Active,100000,100000,Private
U51909DL1996PTC077624,ARS MERCHANTS PRIVATE LIMITED,Active,9067000,9067000,Private
U64202TN2004PTC053243,KARUR NET SERVICE PRIVATE LIMITED,Under process of striking off,500000.00,500000.00,Private
U65191DL2012PLC239836,KHL INVESTMENTS LIMITED,Strike Off,50000000,500000,Public
U15122MH2015PTC269384,RED TOM FOODS PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U74999DL2018PTC330601,PROXIMA ADVERTISING SOLUTION PRIVATE LIMITED,Active,100000,80000,Private
U45202KA2008PTC046801,PALLAVI SHELTERS PRIVATE LIMITED,Strike Off,200000.00,200000.00,Private
U24232GJ1990PTC013695,AAYUSHI PHARMACEUTICALS PRIVATE LIMITED,Amalgamated,50000000.00,35500000.00,Private
U20211MH2024OPC419556,SWARNIM AGRI MICROBIAL TECHNOLOGY (OPC) PRIVATE LIMITED,Active,1000000.00,100000.00,One Person Company
U01100MH2019PTC320018,LAMBHE AND NIKAM AGRO PRODUCER COMPANY LIMITED,Active,100000.00,100000.00,Private
U70109MH2007PTC170093,NANDI AGRI REALTORS PRIVATE LIMITED,Amalgamated,1000000.00,115000.00,Private
U72100MH1989PTC054085,GRASSROOTS TECHNOLOGIES PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U72900TN2021PTC145475,HYDRA ONE PRIVATE LIMITED,Active,1500000.00,100000.00,Private
U46524DL2023PTC413600,NITWATI ACCESSORIES PRIVATE LIMITED,Active,100000,100000,Private
U65992TZ1996PTC007280,COIMBATORE PRAKASHINI CHITS PRIVATE LIMITED,Strike Off,500000.00,0.00,Private
U45209KA2011PTC058865,BERYL PROPERTIES PRIVATE LIMITED,Active,500000.00,100000.00,Private
U63040TN1984PTC010949,ECONOMIC TRAVEL ORGANISATION PRIVATE LIMITED,Strike Off,1000000.00,86500.00,Private
U24233MH2011PTC216202,DYNACIATE PROCESS SOLUTIONS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U80904PN2021PTC199205,BATTI EDUCOM PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
